dataset,run_id,repeat,fold,feature_regime,weight_strategy,scale_pos_weight,source_features,transformed_features,feature_selection_runtime_seconds,model_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R1_F5,1,5,FrozenChi2Top75,Unweighted,1.0,11,37,0.03821389999939129,0.2392960999859497,0.8913043478260869,0.927536231884058,0.8648648648648649,0.921875,0.8951048951048951,0.8933699324324325,0.7846715615207802,0.9410895270270271,0.9551626817156764,0.8929150560368536,0.8023648648648649,59,5,10,64,10.869565217391305,18.115942028985508,39.85507246376812,76.08695652173913
Australian Credit Approval,R1_F5,1,5,FrozenChi2Top75,Balanced,0.7864077669902912,11,37,0.03821389999939129,0.23531089996686205,0.8985507246376812,0.9545454545454546,0.8513513513513513,0.953125,0.9,0.9022381756756757,0.803120872121694,0.9404560810810811,0.9541454780078743,0.9008020075226058,0.8158783783783784,61,3,11,63,10.144927536231885,18.115942028985508,42.028985507246375,81.8840579710145
Australian Credit Approval,R1_F5,1,5,FrozenChi2Top75,Cost2,1.5728155339805825,11,37,0.03821389999939129,0.24291050003375858,0.8913043478260869,0.927536231884058,0.8648648648648649,0.921875,0.8951048951048951,0.8933699324324325,0.7846715615207802,0.9408783783783785,0.9547460910551382,0.8929150560368536,0.8044763513513513,59,5,10,64,10.869565217391305,18.115942028985508,39.85507246376812,76.08695652173913
Australian Credit Approval,R1_F5,1,5,FrozenChi2Top75,Cost5,3.9320388349514563,11,37,0.03821389999939129,0.2418916000169702,0.9057971014492754,0.9066666666666666,0.918918918918919,0.890625,0.912751677852349,0.9047719594594594,0.8104856973673661,0.9442567567567568,0.9570527365588818,0.9046613521988005,0.809543918918919,57,7,6,68,9.420289855072463,13.768115942028986,26.81159420289855,48.55072463768116
Australian Credit Approval,R2_F1,2,1,AllFeatures,Unweighted,1.0,14,42,0.0,0.2629664000123739,0.8478260869565217,0.8513513513513513,0.863013698630137,0.8307692307692308,0.8571428571428571,0.8468914646996839,0.694441827491691,0.8998946259220232,0.886221752477256,0.8467379916799929,0.7262381454162276,54,11,10,63,15.217391304347826,22.463768115942027,44.20289855072464,80.43478260869566
Australian Credit Approval,R2_F1,2,1,AllFeatures,Balanced,0.7806451612903226,14,42,0.0,0.25467270001536235,0.8478260869565217,0.8513513513513513,0.863013698630137,0.8307692307692308,0.8571428571428571,0.8468914646996839,0.694441827491691,0.9017913593256058,0.8931556208387968,0.8467379916799929,0.7262381454162276,54,11,10,63,15.217391304347826,22.463768115942027,44.20289855072464,80.43478260869566
Australian Credit Approval,R2_F1,2,1,AllFeatures,Cost2,1.5612903225806452,14,42,0.0,0.2641711000469513,0.8333333333333334,0.8205128205128205,0.8767123287671232,0.7846153846153846,0.847682119205298,0.8306638566912539,0.6659044303677515,0.9047418335089568,0.8992753184019066,0.82938650883208,0.7245521601685985,51,14,9,64,16.666666666666668,23.18840579710145,42.7536231884058,75.3623188405797
Australian Credit Approval,R2_F1,2,1,AllFeatures,Cost5,3.903225806451613,14,42,0.0,0.2587677999981679,0.8333333333333334,0.8048780487804879,0.9041095890410958,0.7538461538461538,0.8516129032258064,0.8289778714436249,0.6688270827785756,0.9062170706006322,0.8993605582298618,0.8255661913826515,0.7262381454162276,49,16,7,66,16.666666666666668,21.73913043478261,36.95652173913044,62.31884057971015
Australian Credit Approval,R2_F1,2,1,FrozenChi2Top75,Unweighted,1.0,11,37,0.037896000023465604,0.2417221000068821,0.8115942028985508,0.8051948051948052,0.8493150684931506,0.7692307692307693,0.8266666666666667,0.80927291886196,0.6216983533884065,0.9032665964172814,0.9029604216661754,0.8082816857112808,0.6680716543730242,50,15,11,62,18.840579710144926,26.81159420289855,50.72463768115942,90.57971014492753
Australian Credit Approval,R2_F1,2,1,FrozenChi2Top75,Balanced,0.7806451612903226,11,37,0.037896000023465604,0.233556299994234,0.8115942028985508,0.8133333333333334,0.8356164383561644,0.7846153846153846,0.8243243243243243,0.8101159114857746,0.6215430967882567,0.9034773445732349,0.8955867295758402,0.8097144639758881,0.6680716543730242,51,14,12,61,18.840579710144926,27.536231884057973,53.6231884057971,97.10144927536231
