dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds_for_fold,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R2_F4,2,4,MI,Top50,0.5,10,26,50.0,0.9339409999665804,0.29231519997119904,0.75,0.5869565217391305,0.46551724137931033,0.8661971830985915,0.5192307692307693,0.6658572122389509,0.35767060537986484,0.7711267605633803,0.5962689658454925,0.635003719017917,0.44730451675570665,123,19,31,27
German Credit,R2_F4,2,4,MI,Top75,0.75,15,50,25.0,0.9339409999665804,0.3246345999650657,0.725,0.5306122448979592,0.4482758620689655,0.8380281690140845,0.48598130841121495,0.643152015541525,0.3020641036352009,0.7780475959203497,0.5552491723198816,0.6129174495010445,0.48785818358426425,119,23,32,26
German Credit,R2_F4,2,4,L1,Top25,0.25,5,14,75.0,0.9339409999665804,0.2722305000061169,0.695,0.4716981132075472,0.43103448275862066,0.8028169014084507,0.45045045045045046,0.6169256920835358,0.24043711688440966,0.7111461874696454,0.5094437894485446,0.588253149459032,0.38319572608062163,114,28,33,25
German Credit,R2_F4,2,4,L1,Top50,0.5,10,26,50.0,0.9339409999665804,0.2956241999636404,0.735,0.5510204081632653,0.46551724137931033,0.8450704225352113,0.5046728971962616,0.6552938319572608,0.327684468659391,0.775133559980573,0.5869087360430603,0.6272119672565565,0.46673142302088394,120,22,31,27
German Credit,R2_F4,2,4,L1,Top75,0.75,15,51,25.0,0.9339409999665804,0.3263982000062242,0.755,0.5957446808510638,0.4827586206896552,0.8661971830985915,0.5333333333333333,0.6744779018941234,0.37345127839359327,0.7849684312773191,0.5875632328549177,0.6466561353284609,0.4698882952889752,123,19,30,28
German Credit,R2_F4,2,4,RF,Top25,0.25,5,5,75.0,0.9339409999665804,0.3010923999827355,0.69,0.45454545454545453,0.3448275862068966,0.8309859154929577,0.39215686274509803,0.5879067508499272,0.19258468850535823,0.6317387081107333,0.4948604055800259,0.5353007261450005,0.25522098105876634,118,24,38,20
German Credit,R2_F4,2,4,RF,Top50,0.5,10,21,50.0,0.9339409999665804,0.3390713999979198,0.745,0.574468085106383,0.46551724137931033,0.8591549295774648,0.5142857142857142,0.6623360854783875,0.3474630196327308,0.7492714910150557,0.6191564298721537,0.632417135073313,0.4431762991743565,122,20,31,27
German Credit,R2_F4,2,4,RF,Top75,0.75,15,42,25.0,0.9339409999665804,0.350996799999848,0.735,0.5490196078431373,0.4827586206896552,0.8380281690140845,0.5137614678899083,0.6603933948518699,0.33396151462219986,0.7821758135016998,0.6046399197005956,0.6360544968572399,0.46211753278290435,119,23,30,28
German Credit,R2_F4,2,4,RFE,Top25,0.25,5,15,75.0,0.9339409999665804,0.29765879997285083,0.665,0.40816326530612246,0.3448275862068966,0.795774647887324,0.37383177570093457,0.5703011170471103,0.1483419134900605,0.7143637688198154,0.4988868698860075,0.5238368553238967,0.376881981544439,113,29,38,20
German Credit,R2_F4,2,4,RFE,Top50,0.5,10,39,50.0,0.9339409999665804,0.33024829998612404,0.72,0.5217391304347826,0.41379310344827586,0.8450704225352113,0.46153846153846156,0.6294317629917435,0.2791192279172298,0.7513355998057308,0.5110776860661423,0.5913411137179545,0.44171928120446813,120,22,34,24
