attribute,group,run_id,records,observed_adverse_rate,predicted_adverse_rate,recall_tpr,false_positive_rate,specificity,precision,f1,brier,mean_calibrated_probability
age_group,30-39,R2_F1,2194,0.19781221513217867,0.17866909753874202,0.47235023041474655,0.10625,0.89375,0.5229591836734694,0.4963680387409201,0.13058186959669493,0.20539548755565548
age_group,40-49,R2_F1,1278,0.24569640062597808,0.21987480438184664,0.5573248407643312,0.10995850622406639,0.8900414937759336,0.6227758007117438,0.5882352941176471,0.13713896977240148,0.23076352892301064
age_group,50+,R2_F1,521,0.2437619961612284,0.23224568138195778,0.5275590551181102,0.13705583756345177,0.8629441624365483,0.5537190082644629,0.5403225806451613,0.14510377816820672,0.24346044502476397
age_group,<30,R2_F2,1921,0.2358146798542426,0.23477355543987508,0.5783664459161147,0.1287465940054496,0.8712534059945504,0.5809312638580931,0.5796460176991151,0.13728088061250365,0.23229088889140911
age_group,30-39,R2_F2,2277,0.19894598155467721,0.1888449714536671,0.5033112582781457,0.11074561403508772,0.8892543859649122,0.5302325581395348,0.5164212910532278,0.12208396341728295,0.2030179563949511
age_group,40-49,R2_F2,1262,0.2115689381933439,0.20443740095087162,0.5430711610486891,0.1135678391959799,0.8864321608040201,0.562015503875969,0.5523809523809524,0.12221818449977029,0.22097749007631787
age_group,50+,R2_F2,541,0.2513863216266174,0.2920517560073937,0.6176470588235294,0.18271604938271604,0.817283950617284,0.5316455696202531,0.5714285714285714,0.14201363614037982,0.2647480018930369
age_group,<30,R2_F3,1852,0.21922246220302377,0.20356371490280778,0.5147783251231527,0.11618257261410789,0.8838174273858921,0.5543766578249337,0.5338441890166028,0.13567301994608144,0.22416118305209703
age_group,30-39,R2_F3,2308,0.20493934142114384,0.18067590987868284,0.4799154334038055,0.10354223433242507,0.896457765667575,0.5443645083932853,0.5101123595505617,0.13075510955984646,0.2072621036164766
age_group,40-49,R2_F3,1300,0.23153846153846153,0.22615384615384615,0.5481727574750831,0.12912912912912913,0.8708708708708709,0.5612244897959183,0.5546218487394958,0.14025233865765294,0.2355975284783392
age_group,50+,R2_F3,542,0.2656826568265683,0.25461254612546125,0.5486111111111112,0.14824120603015076,0.8517587939698492,0.572463768115942,0.5602836879432626,0.15758432124699892,0.2497172975913091
age_group,<30,R2_F4,1894,0.22703273495248152,0.21541710665258712,0.5604651162790698,0.11407103825136612,0.8859289617486339,0.5906862745098039,0.5751789976133652,0.13310629110730018,0.23301256245214155
age_group,30-39,R2_F4,2228,0.2073608617594255,0.17549371633752245,0.48484848484848486,0.09456398640996602,0.905436013590034,0.5728900255754475,0.5252051582649472,0.12910248382005657,0.20217850519656422
age_group,40-49,R2_F4,1309,0.23758594346829642,0.2192513368983957,0.5241157556270096,0.12424849699398798,0.875751503006012,0.5679442508710801,0.5451505016722409,0.14305087782316778,0.2284289047927807
age_group,50+,R2_F4,572,0.256993006993007,0.23776223776223776,0.5374149659863946,0.13411764705882354,0.8658823529411764,0.5808823529411765,0.558303886925795,0.1492003086373985,0.24761401009228082
age_group,<30,R2_F5,1949,0.23961005643919958,0.21139045664443304,0.5032119914346895,0.1194331983805668,0.8805668016194332,0.5703883495145631,0.5346985210466438,0.14377530054836474,0.22694245522017195
age_group,30-39,R2_F5,2231,0.20349619004930525,0.17525773195876287,0.4845814977973568,0.09622960045019696,0.9037703995498031,0.5626598465473146,0.5207100591715976,0.1284932872879581,0.19895173533548813
age_group,40-49,R2_F5,1315,0.2220532319391635,0.19771863117870722,0.4794520547945205,0.11730205278592376,0.8826979472140762,0.5384615384615384,0.5072463768115941,0.13999173343187835,0.2231938568252497
age_group,50+,R2_F5,504,0.24603174603174602,0.27380952380952384,0.5887096774193549,0.17105263157894737,0.8289473684210527,0.5289855072463768,0.5572519083969466,0.14622151168932204,0.27261012662883904
age_group,<30,R3_F1,1951,0.22962583290620195,0.20553562275756024,0.484375,0.12242182302062542,0.8775781769793746,0.5411471321695761,0.5111896348645465,0.14371459069117087,0.22619742304994186
age_group,30-39,R3_F1,2252,0.2113676731793961,0.17095914742451154,0.46008403361344535,0.09346846846846847,0.9065315315315315,0.5688311688311688,0.5087108013937282,0.1333816856458836,0.20437224118996658
age_group,40-49,R3_F1,1310,0.22366412213740458,0.18931297709923664,0.5051194539249146,0.09832841691248771,0.9016715830875123,0.5967741935483871,0.5471349353049908,0.13483247852092997,0.22322053470762324
age_group,50+,R3_F1,486,0.26337448559670784,0.2366255144032922,0.4921875,0.1452513966480447,0.8547486033519553,0.5478260869565217,0.5185185185185185,0.1685591604921213,0.2605295743786171
age_group,<30,R3_F2,1966,0.24211597151576805,0.23601220752797558,0.5903361344537815,0.12281879194630872,0.8771812080536913,0.6056034482758621,0.597872340425532,0.13441158600536476,0.23405954373023827
age_group,30-39,R3_F2,2251,0.18214127054642382,0.17281208351843624,0.4585365853658537,0.10917979359043997,0.8908202064095601,0.4832904884318766,0.4705882352941176,0.12534963953921707,0.19975858787504022
age_group,40-49,R3_F2,1206,0.2222222222222222,0.22553897180762852,0.5335820895522388,0.13752665245202558,0.8624733475479744,0.5257352941176471,0.5296296296296297,0.13196633066726296,0.2303565198488544
